               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069269,            0.014362,            0.012988,              0.5007,             0.47503,             0.45498,             0.20694,            0.061998,           0.0040544,           0.0017243,            0.070061,           0.0033266,           0.0033266
                   1,            0.053209,            0.010445,           0.0018963,             0.66112,             0.46207,             0.49041,             0.25342,            0.057692,           0.0039557,           0.0014226,            0.040001,              0.0066,              0.0066
                   2,            0.055197,            0.010374,           0.0015611,             0.40849,             0.21053,             0.23344,             0.09954,            0.066656,           0.0045742,           0.0014458,            0.009881,           0.0098134,           0.0098134
                   3,            0.059049,            0.011269,           0.0013047,             0.12904,             0.17105,             0.11201,            0.051789,            0.076031,            0.005107,          0.00085926,             0.00973,             0.00973,             0.00973
                   4,            0.056881,            0.011318,          0.00074074,             0.65445,             0.35526,             0.33645,             0.14254,             0.06321,           0.0043392,          0.00051786,             0.00973,             0.00973,             0.00973
                   5,            0.055402,             0.01125,          0.00059147,             0.45055,             0.31579,             0.27321,             0.12618,            0.061122,           0.0049541,          0.00043024,             0.00964,             0.00964,             0.00964
                   6,            0.053577,            0.010915,          0.00055232,             0.59126,             0.32365,             0.34319,             0.16514,            0.061514,           0.0043622,          0.00040095,             0.00955,             0.00955,             0.00955
                   7,            0.051891,            0.010957,          0.00044816,             0.52842,             0.38158,             0.32778,             0.15562,            0.055683,           0.0045014,          0.00032713,             0.00946,             0.00946,             0.00946
                   8,            0.050818,            0.010631,          0.00041732,             0.71564,             0.33119,             0.38901,             0.20827,            0.063998,           0.0044263,          0.00037909,             0.00937,             0.00937,             0.00937
                   9,            0.051437,            0.010767,          0.00045134,             0.64666,             0.36129,             0.42024,             0.20345,            0.053123,           0.0043606,          0.00036857,             0.00928,             0.00928,             0.00928
                  10,            0.048945,            0.010542,          0.00037915,             0.51354,             0.44737,             0.41752,             0.21483,             0.05449,           0.0042921,          0.00028384,             0.00919,             0.00919,             0.00919
                  11,            0.047744,            0.010423,           0.0003393,             0.68992,             0.43921,             0.48771,             0.22571,            0.057359,           0.0040323,          0.00028205,              0.0091,              0.0091,              0.0091
                  12,            0.047703,              0.0103,          0.00032819,              0.6365,             0.44737,             0.47611,             0.23677,            0.058828,           0.0041126,            0.000224,             0.00901,             0.00901,             0.00901
                  13,            0.046101,            0.010283,          0.00031195,             0.49059,             0.46053,             0.43945,             0.23725,            0.055782,           0.0041679,          0.00025463,             0.00892,             0.00892,             0.00892
                  14,            0.046736,            0.010383,          0.00031576,             0.74303,             0.41855,             0.47789,             0.20414,            0.056808,           0.0042049,          0.00024275,             0.00883,             0.00883,             0.00883
                  15,            0.045425,            0.010199,          0.00027498,             0.64419,             0.42105,             0.42778,             0.23004,            0.053363,           0.0042239,          0.00020007,             0.00874,             0.00874,             0.00874
                  16,            0.045195,           0.0098578,           0.0002874,             0.82251,             0.46053,             0.56407,             0.29561,            0.055521,           0.0040753,          0.00020448,             0.00865,             0.00865,             0.00865
                  17,            0.044038,           0.0097224,           0.0002588,             0.80349,             0.43048,             0.53412,             0.25286,            0.050132,           0.0041512,          0.00022001,             0.00856,             0.00856,             0.00856
                  18,            0.043733,           0.0096946,          0.00026647,              0.7649,             0.42105,              0.5148,             0.26072,            0.052348,           0.0041784,          0.00021835,             0.00847,             0.00847,             0.00847
